"Path","SHA256"
"proof/SB08/browser-validation.md","A6143974DFA71F26E7DDB159023F942477C677DB5CBAA9383F31E5DC1E290CF9"
"proof/SB08/client-effort-options.png","A50B4591D0FD3A79FE9542E7690F2412F5C1E77FE8F948EA9E1CCBF5A774B5EB"
"proof/SB08/client-final-chat.png","B5160E2D24B6D4DA78AF46B95900C574A515B87FBEDC1F991F05C8CB34B47D09"
"proof/SB08/client-original-shared-sol.png","7F238F3B8234DD8BD5FB9DBCC70817B28CE319E56A5608F8E0FF9F322C089748"
"proof/SB08/client-sol-high.png","32700E5B40FD9A1198FE981CA1FC9B2BD6681512D118F7E37B74BBB7707784B7"
"proof/SB08/client-unsupported.png","4DAAE518A79000E999AA21B35C84DB9F719E292287327445B48E93DBF75499B0"
"proof/SB08/docker-build-final.txt","50EDB4F54D7E3DF8A71192178EC933027646F7D596A28DBE96E63D4EAC085E30"
"proof/SB08/docker-build-final5.txt","8D754BD8690940A510DA4D1E43C67ED945EC077F8FCC0F247DA60ABB7A6378D3"
"proof/SB08/docker-build-final6.txt","51FE02229B6432D6B1AEFAEDD5AAF184CBE9B2D8CF50670E64105A8FA4BB2F65"
"proof/SB08/docker-build-foreground.txt","B9F04C94609CC8888B7D317045630626E6AC990C42BAEF69E7B80E8029EF0088"
"proof/SB08/docker-build-temperature.txt","F90E0206D3B702E32A9E4BF7E08F55F2CED88BF2BDAD0C5085D58BC65682B327"
"proof/SB08/docker-build.txt","98EE7902E332CE9FD8D3BA38E5BD0B1FC7C2A01EEE9819419E72B4337E4E4234"
"proof/SB08/final-health.json","F8AC116B1A6A5A4916F3B1BED337D8AE6901B29C5353B6B53A6378C1A05F684E"
"proof/SB08/live-source-dispatch.txt","E305C63DE4B3FB60C3370190E562970934B86238836493DE94BCED5E8E12CF49"
"proof/SB08/live-source-usage.txt","5AC805FF4058557031BF4EF7AA4DFDDB18931C3F60CE5067AD39916C355F206D"
"proof/SB08/manifest.md","943C31731489DBF1719F8F11B83ABA94B5C1ACBCC20D91CCFC1C4706C3E5BE46"
"proof/SB08/mcp-results.json","98EC5152BB34682435745803F828B150BF4EC1755D919A93C77669840D1886B9"
"proof/SB08/mini-high-runtime.png","8CC387D61393EFFBF77A69AE2A4163D9352A5507962B82EA25ACFB817041824E"
"proof/SB08/mini-low-runtime.png","38C7422AADB5C21FB46CD61DECB4DB1D62C03F9ADDEEF8A562A070FD310428A9"
"proof/SB08/ollama-high-runtime.png","374CC9E55F2201FFD507DCA0BEF7283EDE3F65A80C803F05842D10F8A6DEF3E1"
"proof/SB08/restart-5214-final6.txt","35972E40C4374F9D9F3996A66C981C7B49D168894352C89738F7E37C16E22D5C"
"proof/SB08/restart-final5.txt","873238C774AE5F0A8215CD5781F721F4DF33992A4C106BCFF56F0B5E96833110"
"proof/SB08/restart-final6.txt","2E7E5CDD55728E8BEECC5B5C99130D9BFF475E4560780769B7EC169B166EF096"
"proof/SB08/semantic-invariants.md","F6A9B48FF014B595347BA4D25BBC984FF7FA9EA070F7284EAF4676B4D3AE9084"
"proof/SB08/sol-high-runtime.png","D7505E383359DAA9504C515D25C7B728FFEC2057A7890A5E17C70D5E1DD1EC89"
"proof/SB08/source-client-parity.json","182FBBC8A30CAF5A54E07FD72B3A69C114EA97A741D9C27701329DEDD8DA166D"
