# SB09 changed-file-hashes.txt

Command: `git show HEAD:<file> plus Get-FileHash -Algorithm SHA256 on changed source/test files`
Working directory: `C:\repositories\CanDoItAll`
ExitCode: 0

| File | Before SHA-256 | After SHA-256 |
| --- | --- | --- |
| repo://src/CanDoItAll.Modules.Processes/Definitions/ProcessDefinitionLinter.cs | f88242c3e4d394d0e5d8f96bfcffdd1b9189b74e1c5292f511c563af26088cea | 4970834d5515a5ab11f2f487b0e2ed0aee474551ed936d5379b955ed6f7a0acf |
| repo://src/CanDoItAll.Modules.Processes/Definitions/ProcessDefinitionEditorModels.cs | 87448d4de01229d10590e1f56de131e5aaed690626c7ce19d6c1333c20cb2223 | 7c027875b7c73843405e542805255bac98650ceb065176b09818d700b20582a7 |
| repo://src/CanDoItAll.Modules.Processes/Runtime/ProcessRuntimeViewModels.cs | 106d695c48c78a7f3f384cf53a42c90aae8b35f0504461ceaef5217c7d4c34d5 | e913383220350e84c9a3f1fa279e0235994e7e3f4ad532ecd1e9e6955f1b2e3f |
| repo://src/CanDoItAll.Modules.Processes/Runtime/ProcessesService.Runtime.RunStart.cs | 2f6308bb0b223e887b2bea377fab84416adac8f0c914a283a96d7c704e4a6c4d | 5f6aabe430fa12af588c7c59b0569620290bb6b73314fb3b270fc0b08538cdbd |
| repo://src/CanDoItAll.Modules.Processes/Services/ProcessesService.Publication.cs | 37d80ac0de3b9be5cde282d7bdf4e75c9d71f9861cd8b4c3771b43a4f1d32457 | 22d0ff92a19eadcd423f78d2356a590089777c838c134643b7b0fbcd95a441fe |
| repo://src/CanDoItAll.Modules.Processes/Services/ProcessesService.Support.cs | b317e54dc4f1ef7f9b38c078977e38a8b11b848a4573ca0bfc934b4fe25d1e0e | aa52125e65889a582377cdcca1508bf749b8224e6c0a68461e35e3e084a7f02c |
| repo://src/CanDoItAll.Modules.Processes/Services/ProcessesService.cs | 2b72d2d716f94ba195970edbb717bd4fb00e2864fd406bcf9d1b8e1a777e7bb6 | e2e93e671ea393cdc3509a54c14f572cae6d318a84d3a967693c80902458b145 |
| repo://src/CanDoItAll.Modules.Processes/Components/ProcessDefinitionForm.razor | 3eb3cf8619e20b70b5ffbfb8445dc92741043cda407da642905669524fabdd51 | 8e91d567e945c472f6d9ea9891087bd87023e5321a7a099a5a39986946f7e371 |
| repo://tests/CanDoItAll.Tests.Integration/ProcessDefinitionLinterTests.cs | b4e3f4d7c40e0a5870488f53cc5e21473785ec5b81e59a9eb8cef30ae3a7d0c3 | acc36958fbbae646811604453e5c847ca5edf9d7565379cea76b8c7bf6bb8482 |
